,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NBA 2K League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Season 1 Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Season Totals,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game Stats,,,,,,,,,,,,,,,,,,,,,,,
,,Team,Gamertag,Event,GP,PTS,AST,TO,AST/TO,STL,BLK,REB,OREB,DREB,FGA,FGM,FG%,eFG%,2FGA,2FGM,2FG%,3FGA,3FGM,3FG%,FTA,FTM,FT%,PF TKN,PF,,PPG,APG,TO PG,AST/TO,STL PG,BLK PG,RPG,OREB PG,DREB PG,FGA PG,FGM PG,FG%,eFG%,2FGA PG,2FGM PG,2FG%,3FGA PG,3FGM PG,3FG%,FTA PG,FTM PG,FT%,PF TKN PG,PF PG
,,Heatcheck Gaming,24KDropOff,Tip Off,4 ,49 ,18 ,10 ,1.8 ,5 ,– ,15 ,6 ,9 ,32 ,22 ,69% ,72% ,25 ,20 ,80% ,7 ,2 ,29% ,4 ,3 ,75% ,6 ,5 ,,12.3 ,4.5 ,2.5 ,1.8 ,1.3 ,– ,3.8 ,1.5 ,2.3 ,8.0 ,5.5 ,69% ,72% ,6.3 ,5.0 ,80% ,1.8 ,0.5 ,29% ,1.0 ,0.8 ,75% ,1.5 ,1.3 
,,Heatcheck Gaming,24KDropOff,Regular Season,14 ,190 ,37 ,15 ,2.5 ,22 ,18 ,57 ,17 ,40 ,146 ,85 ,58% ,62% ,120 ,75 ,63% ,26 ,10 ,39% ,12 ,10 ,83% ,13 ,29 ,,13.6 ,2.6 ,1.1 ,2.5 ,1.6 ,1.3 ,4.1 ,1.2 ,2.9 ,10.4 ,6.1 ,58% ,62% ,8.6 ,5.4 ,63% ,1.9 ,0.7 ,39% ,0.9 ,0.7 ,83% ,0.9 ,2.1 
,,Heatcheck Gaming,24KDropOff,Playoffs,3 ,20 ,7 ,– ,– ,3 ,– ,2 ,2 ,– ,17 ,7 ,41% ,59% ,3 ,1 ,33% ,14 ,6 ,43% ,– ,– ,-,2 ,2 ,,6.7 ,2.3 ,– ,– ,1.0 ,– ,0.7 ,0.7 ,– ,5.7 ,2.3 ,41% ,59% ,1.0 ,0.3 ,33% ,4.7 ,2.0 ,43% ,– ,– ,-,0.7 ,0.7 
,,Heatcheck Gaming,24KDropOff,Mid-Season Tournament 2,1 ,4 ,3 ,1 ,3.0 ,4 ,4 ,3 ,1 ,2 ,5 ,2 ,40% ,40% ,5 ,2 ,40% ,– ,– ,-,– ,– ,-,– ,5 ,,4.0 ,3.0 ,1.0 ,3.0 ,4.0 ,4.0 ,3.0 ,1.0 ,2.0 ,5.0 ,2.0 ,40% ,40% ,5.0 ,2.0 ,40% ,– ,– ,-,– ,– ,-,– ,5.0 
,,Heatcheck Gaming,24KDropOff,Finals,2 ,19 ,8 ,3 ,2.7 ,– ,– ,– ,– ,– ,15 ,8 ,53% ,63% ,6 ,5 ,83% ,9 ,3 ,33% ,– ,– ,-,– ,5 ,,9.5 ,4.0 ,1.5 ,2.7 ,– ,– ,– ,– ,– ,7.5 ,4.0 ,53% ,63% ,3.0 ,2.5 ,83% ,4.5 ,1.5 ,33% ,– ,– ,-,– ,2.5 
,,Raptors Uprising GC,AllHailTrey,Tip Off,3 ,30 ,4 ,3 ,1.3 ,3 ,1 ,15 ,– ,15 ,19 ,12 ,63% ,79% ,8 ,6 ,75% ,11 ,6 ,55% ,– ,– ,-,1 ,5 ,,10.0 ,1.3 ,1.0 ,1.3 ,1.0 ,0.3 ,5.0 ,– ,5.0 ,6.3 ,4.0 ,63% ,79% ,2.7 ,2.0 ,75% ,3.7 ,2.0 ,55% ,– ,– ,-,0.3 ,1.7 
,,Raptors Uprising GC,AllHailTrey,Regular Season,14 ,207 ,25 ,16 ,1.6 ,26 ,12 ,51 ,12 ,39 ,157 ,86 ,55% ,64% ,95 ,58 ,61% ,62 ,28 ,45% ,7 ,7 ,100% ,15 ,24 ,,14.8 ,1.8 ,1.1 ,1.6 ,1.9 ,0.9 ,3.6 ,0.9 ,2.8 ,11.2 ,6.1 ,55% ,64% ,6.8 ,4.1 ,61% ,4.4 ,2.0 ,45% ,0.5 ,0.5 ,100% ,1.1 ,1.7 
,,Raptors Uprising GC,AllHailTrey,Playoffs,1 ,3 ,– ,– ,– ,1 ,1 ,4 ,1 ,3 ,4 ,1 ,25% ,38% ,1 ,– ,– ,3 ,1 ,33% ,– ,– ,-,– ,– ,,3.0 ,– ,– ,– ,1.0 ,1.0 ,4.0 ,1.0 ,3.0 ,4.0 ,1.0 ,25% ,38% ,1.0 ,– ,– ,3.0 ,1.0 ,33% ,– ,– ,-,– ,– 
,,Raptors Uprising GC,AllHailTrey,Mid-Season Tournament 2,1 ,22 ,2 ,– ,– ,1 ,1 ,2 ,– ,2 ,16 ,9 ,56% ,69% ,8 ,5 ,63% ,8 ,4 ,50% ,– ,– ,-,1 ,2 ,,22.0 ,2.0 ,– ,– ,1.0 ,1.0 ,2.0 ,– ,2.0 ,16.0 ,9.0 ,56% ,69% ,8.0 ,5.0 ,63% ,8.0 ,4.0 ,50% ,– ,– ,-,1.0 ,2.0 
,,Raptors Uprising GC,AllHailTrey,Mid-Season Tournament 1,2 ,28 ,2 ,2 ,1.0 ,– ,– ,1 ,– ,1 ,15 ,10 ,67% ,93% ,2 ,2 ,100% ,13 ,8 ,62% ,– ,– ,-,1 ,1 ,,14.0 ,1.0 ,1.0 ,1.0 ,– ,– ,0.5 ,– ,0.5 ,7.5 ,5.0 ,67% ,93% ,1.0 ,1.0 ,100% ,6.5 ,4.0 ,62% ,– ,– ,-,0.5 ,0.5 
,,Celtics Crossover Gaming,Ars0nalX,Tip Off,4 ,87 ,4 ,8 ,0.5 ,8 ,4 ,52 ,22 ,30 ,62 ,40 ,65% ,65% ,62 ,40 ,65% ,– ,– ,-,7 ,7 ,100% ,3 ,6 ,,21.8 ,1.0 ,2.0 ,0.5 ,2.0 ,1.0 ,13.0 ,5.5 ,7.5 ,15.5 ,10.0 ,65% ,65% ,15.5 ,10.0 ,65% ,– ,– ,-,1.8 ,1.8 ,100% ,0.8 ,1.5 
